NO VOL ATH PERIODS (No Sustained SPY Drawndown Greater than -5%): MAX BULL,,,,,,,,,,,,,,,,,,,,
Start Date,End Date,,,,,,,,,,,,,,,,,,,
Jan 19 2024,July 16 2024,Tickers,Absolute Drawdown (%) Daily Close Price,Absolute Drawdown Date ,Max Drawdown (%),Cumulative Return (%),Annualized Return (%),Sharpe Ratio,Standard Deviation	 (%),Calmar Ratio,Alpha,Beta,Rebound %,Drawdown Bars ,Drawdown Days ,Rebound Bars ,Rebound Days,Total Bars,Total Days ,Key Factors Contributing to the Drawdown
Re-Active Vehicles,,,,,,,,,,,,,,,,,,,,
1/19/2024,7/16/2024,OMNI,-8.97%,4/19/2024,-25.10%,19.80%,44.90%,1.10,41.90%,1.79,0.28,0.14,31.60%,64,91,61,88,125,179,
1/19/2024,7/16/2024,SHIELD,-3.02%,4/12/2024,-6.40%,-0.40%,-0.80%,-0.06,8.20%,-0.13,0.34,-0.40,2.70%,59,84,66,95,125,179,
1/19/2024,7/16/2024,ALPHA,-0.02%,1/31/2024,-10.20%,37.60%,92.50%,1.94,37.60%,9.05,0.29,0.07,37.63%,9,12,116,167,125,179,
Growth Vehicles,,,,,,,,,,,,,,,,,,,,
1/19/2024,7/16/2024,SPY,0.09%,1/31/2024,-5.40%,17.80%,40.00%,3.29,10.50%,7.46,,,17.69%,9,12,116,167,125,179,Market performed well with no drawdowns sustained greater than -5% during this time period
1/19/2024,7/16/2024,QQQ,-1.42%,4/19/2024,-7.10%,18.20%,40.80%,2.38,15.00%,5.75,0.11,0.65,19.90%,64,91,61,88,125,179,
1/19/2024,7/16/2024,GBTC,-5.76%,1/23/2024,-23.60%,56.30%,149.70%,1.92,56.20%,6.33,0.29,0.05,65.85%,3,4,122,175,125,179,
Safe-Haven Vehicles,,,,,,,,,,,,,,,,,,,,
1/19/2024,7/16/2024,TLT,-5.80%,4/25/2024,-10.10%,2.10%,4.30%,0.37,14.30%,0.43,0.33,0.17,8.39%,68,97,57,82,125,179,
1/19/2024,7/16/2024,AGG,-2.10%,4/16/2024,-3.70%,2.30%,4.70%,0.83,5.80%,1.28,0.32,0.54,4.49%,61,88,64,91,125,179,
1/19/2024,7/16/2024,GLD,-1.87%,2/14/2024,-5.80%,21.50%,49.00%,2.74,15.10%,8.49,0.28,0.14,23.82%,19,26,106,153,125,179,
